,COD_Munic,TX_PIB,TX_PER,PIB_21,PER_21
4199,4120804,0.7720769806662142,-1.0907347220899755,1941191.355,80039.23
4200,4120853,3.7267438882474746,3.1733492741281233,253583.108,62721.52
4201,4120903,-3.3331948679246937,-4.4922664257020966,1466576.912,42255.94
4202,4121000,2.078276038257598,1.689338228842302,263173.472,21471.28
4203,4121109,2.6747084073367455,3.9427856761829636,257483.496,57939.58
4204,4121208,3.33319652532158,2.172357734172442,509173.397,26262.3
4205,4121257,-0.13237796106852495,-0.907163429613489,113786.563,25285.9
4206,4121307,4.919069533635989,5.403393789394112,185663.532,49378.6
4207,4121356,5.155707877027926,6.005657957055776,234820.171,90246.03
4208,4121406,2.929126303396634,2.589275246557837,743115.332,43774.47
4209,4121505,3.0681184337193024,2.5622862750258157,536464.18,35785.75
4210,4121604,3.1438572400047105,3.212048879600532,422538.769,62394.97
4211,4121703,0.9161511426329261,0.3019692991589218,757419.52,28122.36
4212,4121752,3.9699361086770244,3.005216212229916,260048.735,31998.12
4213,4121802,-2.350843837123495,-2.2831971598315013,383724.89,36125.48
4214,4121901,3.3185174488354896,3.793634155752729,338067.883,26269.94
4215,4122008,3.6450757619200136,2.8302944192379553,729595.12,47275.0
4216,4122107,2.7278083401817588,3.2345844500857535,104373.336,33008.65
4217,4122156,4.832065392871787,5.048045692812736,441542.914,33349.16
4218,4122172,1.4959799926240636,0.9915050989695529,115566.812,28043.39
4219,4122206,-3.515926771183664,-4.0840283928926135,1375682.962,42153.61
4220,4122305,0.8161335421165594,-0.12404833947571858,1298416.683,37477.75
4221,4122404,2.177659961078371,0.6670217445884863,3575090.068,52447.59
4222,4122503,4.839134329814532,6.708564371232917,598117.114,63312.92
4223,4122602,-0.20035519637481292,-0.8534952282050923,350084.062,36225.59
4224,4122651,3.4137746181824524,5.241218968921801,129882.33,28266.01
4225,4122701,7.431704042003795,6.22012409642399,705339.832,101429.37
4226,4122800,-0.19903084597164278,2.239110995516458,124352.195,36692.89
4227,4122909,-7.887286756301565,-7.288145319204631,103668.016,21322.09
4228,4123006,2.93146755870648,2.1165022352924225,529917.984,35429.43
4229,4123105,1.6733156707556374,3.2666542855774914,100866.52,31442.18
4230,4123204,3.0860838204788688,4.158428280416137,153522.06,47193.99
4231,4123303,3.8752496121355673,4.345752635048444,375114.51,48684.56
4232,4123402,1.0117505468243526,-0.5285512967457495,319694.397,25928.17
4233,4123501,3.7681323944948386,2.445051983975477,1465283.286,54197.49
4234,4123600,0.3787520178523407,1.8081206782462889,51495.36,32841.43
4235,4123709,3.5492735602002776,3.85881376300527,253141.42,29837.51
4236,4123808,2.899186223741912,1.723641363294115,467017.593,31293.06
4237,4123824,0.7992711225927374,1.1594227651385736,140120.208,36922.32
4238,4123857,3.560784427113828,5.662736918392558,267330.993,29026.17
4239,4123907,3.3047948921453685,4.0271712718273625,493091.745,42791.96
4240,4123956,2.8821185986530997,1.7200326120213938,91021.675,22463.39
4241,4124004,3.03150596810276,3.6551550931122723,171615.757,34909.63
4242,4124020,3.0265152640182036,3.2969928858453845,582124.324,57894.02
4243,4124053,1.8088758398293714,0.5364805262023764,687387.251,28728.52
4244,4124103,3.0041398126866237,2.2242495318516466,1505670.645,32377.92
4245,4124202,1.1307430510939132,1.5557814475530785,54066.617,20707.25
4246,4124301,1.7249388312706948,3.321418376425278,105830.507,52081.94
4247,4124400,3.9613199322320325,3.28498375959847,648326.516,31852.54
4248,4124509,4.360462945162302,4.09633260240807,532129.734,98142.7
4249,4124608,4.133137607785631,3.2972603888710483,396044.259,56894.74
4250,4124707,3.364112497185001,3.5847171279702215,322913.377,29122.78
4251,4124806,6.771178002959588,7.216540065994526,890646.082,87991.12
4252,4124905,1.2965891767353466,1.4560394781965968,154606.038,26569.18
4253,4125001,2.1732164396750964,3.5998125335460984,361219.778,36497.91
